subject_id,session_id,run_id,n_trials,prior_std_values,n_prior_std_values,coherence_values,n_direction_values,first_trial_index,last_trial_index,first_motion_direction,last_motion_direction
1,1,1,213,10,1,0.06;0.12;0.24,5,1,213,225,225
1,1,2,215,80,1,0.06;0.12;0.24,31,1,215,255,285
1,1,3,215,20,1,0.06;0.12;0.24,11,1,215,225,185
1,1,4,207,40,1,0.06;0.12;0.24,19,1,207,265,245
1,1,5,215,80,1,0.06;0.12;0.24,31,1,215,285,265
1,2,6,213,10,1,0.06;0.12;0.24,5,1,213,225,205
1,2,7,215,20,1,0.06;0.12;0.24,11,1,215,235,255
1,2,8,207,40,1,0.06;0.12;0.24,19,1,207,235,205
1,2,9,215,80,1,0.06;0.12;0.24,31,1,215,255,155
1,2,10,215,80,1,0.06;0.12;0.24,31,1,215,135,105
1,3,11,215,80,1,0.06;0.12;0.24,31,1,215,135,155
1,3,12,213,10,1,0.06;0.12;0.24,5,1,213,215,225
1,3,13,215,20,1,0.06;0.12;0.24,11,1,215,185,175
1,3,14,207,40,1,0.06;0.12;0.24,19,1,207,215,265
1,3,15,215,80,1,0.06;0.12;0.24,31,1,215,245,165
1,4,16,207,40,1,0.06;0.12;0.24,19,1,207,235,235
1,4,17,215,80,1,0.06;0.12;0.24,31,1,215,315,205
1,4,18,213,10,1,0.06;0.12;0.24,5,1,213,215,205
1,4,19,215,20,1,0.06;0.12;0.24,11,1,215,215,245
1,4,20,215,80,1,0.06;0.12;0.24,31,1,215,195,185
1,5,21,215,20,1,0.06;0.12;0.24,11,1,215,255,225
1,5,22,207,40,1,0.06;0.12;0.24,19,1,207,215,175
1,5,23,213,10,1,0.06;0.12;0.24,5,1,213,225,235
1,5,24,215,80,1,0.06;0.12;0.24,31,1,215,105,135
1,5,25,215,80,1,0.06;0.12;0.24,31,1,215,295,205
1,6,26,202,40,1,0.06;0.12;0.24,19,1,202,225,285
1,6,27,226,80,1,0.06;0.12;0.24,36,1,226,205,125
1,6,28,204,20,1,0.06;0.12;0.24,11,1,204,225,225
1,6,29,221,10,1,0.06;0.12;0.24,5,1,221,215,245
1,6,30,226,80,1,0.06;0.12;0.24,36,1,226,105,135
1,7,31,204,20,1,0.06;0.12;0.24,11,1,204,195,195
1,7,32,226,80,1,0.06;0.12;0.24,36,1,226,285,185
1,7,33,226,80,1,0.06;0.12;0.24,36,1,226,215,265
1,7,34,202,40,1,0.06;0.12;0.24,19,1,202,315,285
1,7,35,221,10,1,0.06;0.12;0.24,5,1,221,235,225
1,8,36,202,40,1,0.06;0.12;0.24,19,1,202,265,215
1,8,37,226,80,1,0.06;0.12;0.24,36,1,226,235,5
1,8,38,204,20,1,0.06;0.12;0.24,11,1,204,215,235
1,8,39,221,10,1,0.06;0.12;0.24,5,1,221,235,215
1,8,40,226,80,1,0.06;0.12;0.24,36,1,226,295,45
2,1,1,213,10,1,0.06;0.12;0.24,5,1,213,245,245
2,1,2,215,80,1,0.06;0.12;0.24,31,1,215,145,255
2,1,3,215,20,1,0.06;0.12;0.24,11,1,215,215,225
2,1,4,207,40,1,0.06;0.12;0.24,19,1,207,185,215
2,1,5,215,80,1,0.06;0.12;0.24,31,1,215,225,185
2,2,6,213,10,1,0.06;0.12;0.24,5,1,213,215,225
2,2,7,215,20,1,0.06;0.12;0.24,11,1,215,205,245
2,2,8,215,80,1,0.06;0.12;0.24,31,1,215,255,245
2,2,9,207,40,1,0.06;0.12;0.24,19,1,207,275,235
2,2,10,215,80,1,0.06;0.12;0.24,31,1,215,165,215
2,3,11,215,80,1,0.06;0.12;0.24,31,1,215,55,185
2,3,12,213,10,1,0.06;0.12;0.24,5,1,213,225,235
2,3,13,215,20,1,0.06;0.12;0.24,11,1,215,235,265
2,3,14,207,40,1,0.06;0.12;0.24,19,1,207,225,225
2,3,15,215,80,1,0.06;0.12;0.24,31,1,215,95,255
2,4,16,215,20,1,0.06;0.12;0.24,11,1,215,235,215
2,4,17,213,10,1,0.06;0.12;0.24,5,1,213,245,225
2,4,18,215,80,1,0.06;0.12;0.24,31,1,215,135,225
2,4,19,207,40,1,0.06;0.12;0.24,19,1,207,195,245
2,4,20,215,80,1,0.06;0.12;0.24,31,1,215,155,155
2,5,20,207,40,1,0.06;0.12;0.24,19,1,207,195,275
2,5,22,215,20,1,0.06;0.12;0.24,11,1,215,235,225
2,5,23,213,10,1,0.06;0.12;0.24,5,1,213,225,215
2,5,24,215,80,1,0.06;0.12;0.24,31,1,215,285,255
2,5,25,215,80,1,0.06;0.12;0.24,31,1,215,215,225
2,6,26,215,80,1,0.06;0.12;0.24,31,1,215,215,345
2,6,27,215,80,1,0.06;0.12;0.24,31,1,215,155,115
2,6,28,207,40,1,0.06;0.12;0.24,19,1,207,215,265
2,6,29,215,20,1,0.06;0.12;0.24,11,1,215,225,255
2,7,30,213,10,1,0.06;0.12;0.24,5,1,213,225,245
2,7,31,215,20,1,0.06;0.12;0.24,11,1,215,245,235
2,7,32,215,80,1,0.06;0.12;0.24,31,1,215,145,175
2,7,33,207,40,1,0.06;0.12;0.24,19,1,207,235,245
2,8,31,213,10,1,0.06;0.12;0.24,5,1,213,235,225
2,8,33,215,80,1,0.06;0.12;0.24,31,1,215,65,235
2,8,35,215,20,1,0.06;0.12;0.24,11,1,215,235,195
2,8,37,207,40,1,0.06;0.12;0.24,19,1,207,155,235
3,1,1,207,40,1,0.06;0.12;0.24,19,1,207,225,255
3,1,2,215,80,1,0.06;0.12;0.24,31,1,215,195,285
3,1,3,213,10,1,0.06;0.12;0.24,5,1,213,215,235
3,1,4,215,20,1,0.06;0.12;0.24,11,1,215,215,205
3,1,5,215,80,1,0.06;0.12;0.24,31,1,215,145,305
3,2,6,213,10,1,0.06;0.12;0.24,5,1,213,205,225
3,2,7,215,20,1,0.06;0.12;0.24,11,1,215,225,245
3,2,8,215,80,1,0.06;0.12;0.24,31,1,215,355,315
3,2,9,207,40,1,0.06;0.12;0.24,19,1,207,175,225
3,2,10,215,80,1,0.06;0.12;0.24,31,1,215,305,245
3,3,11,207,40,1,0.06;0.12;0.24,19,1,207,215,205
3,3,12,215,80,1,0.06;0.12;0.24,31,1,215,275,225
3,3,13,215,80,1,0.06;0.12;0.24,31,1,215,245,295
3,3,14,213,10,1,0.06;0.12;0.24,5,1,213,215,225
3,3,15,215,20,1,0.06;0.12;0.24,11,1,215,215,225
3,4,16,215,20,1,0.06;0.12;0.24,11,1,215,265,225
3,4,17,207,40,1,0.06;0.12;0.24,19,1,207,245,155
3,4,18,213,10,1,0.06;0.12;0.24,5,1,213,225,235
3,4,19,215,80,1,0.06;0.12;0.24,31,1,215,285,295
3,4,20,215,80,1,0.06;0.12;0.24,31,1,215,125,305
3,5,21,215,80,1,0.06;0.12;0.24,31,1,215,335,275
3,5,22,213,10,1,0.06;0.12;0.24,5,1,213,235,215
3,5,23,215,20,1,0.06;0.12;0.24,11,1,215,245,215
3,5,24,207,40,1,0.06;0.12;0.24,19,1,207,235,245
3,5,25,215,80,1,0.06;0.12;0.24,31,1,215,165,245
3,6,26,213,10,1,0.06;0.12;0.24,5,1,213,225,225
3,6,27,215,20,1,0.06;0.12;0.24,11,1,215,245,225
3,6,28,207,40,1,0.06;0.12;0.24,19,1,207,195,315
3,6,29,215,80,1,0.06;0.12;0.24,31,1,215,155,215
3,7,30,204,20,1,0.06;0.12;0.24,11,1,204,225,215
3,7,31,202,40,1,0.06;0.12;0.24,19,1,202,145,255
3,7,32,226,80,1,0.06;0.12;0.24,36,1,226,25,135
3,7,33,221,10,1,0.06;0.12;0.24,5,1,221,215,225
3,7,34,226,80,1,0.06;0.12;0.24,36,1,226,25,195
3,8,35,221,10,1,0.06;0.12;0.24,5,1,221,215,225
3,8,36,226,80,1,0.06;0.12;0.24,36,1,226,335,255
3,8,37,202,40,1,0.06;0.12;0.24,19,1,202,265,235
3,8,38,204,20,1,0.06;0.12;0.24,11,1,204,245,235
3,8,39,226,80,1,0.06;0.12;0.24,36,1,226,205,165
3,9,40,221,10,1,0.06;0.12;0.24,5,1,221,235,235
3,9,41,226,80,1,0.06;0.12;0.24,36,1,226,215,5
3,9,42,226,80,1,0.06;0.12;0.24,36,1,226,355,75
3,9,43,202,80,1,0.06;0.12;0.24,19,1,202,215,205
3,9,44,204,20,1,0.06;0.12;0.24,11,1,204,235,215
4,1,1,215,20,1,0.06;0.12;0.24,11,1,215,225,255
4,1,2,207,40,1,0.06;0.12;0.24,19,1,207,265,215
4,1,3,215,80,1,0.06;0.12;0.24,31,1,215,215,335
4,1,4,215,80,1,0.06;0.12;0.24,31,1,215,155,105
4,2,5,215,80,1,0.06;0.12;0.24,31,1,215,255,185
4,2,6,207,40,1,0.06;0.12;0.24,19,1,207,225,215
4,2,7,213,10,1,0.06;0.12;0.24,5,1,213,235,215
4,2,8,215,80,1,0.06;0.12;0.24,31,1,215,245,205
4,2,9,215,20,1,0.06;0.12;0.24,11,1,215,225,205
4,3,10,207,40,1,0.06;0.12;0.24,19,1,207,295,235
4,3,11,215,80,1,0.06;0.12;0.24,31,1,215,255,125
4,3,12,215,80,1,0.06;0.12;0.24,31,1,215,235,335
4,3,13,213,10,1,0.06;0.12;0.24,5,1,213,235,235
4,4,14,215,20,1,0.06;0.12;0.24,11,1,215,225,255
4,4,15,213,10,1,0.06;0.12;0.24,5,1,213,215,225
4,4,16,215,20,1,0.06;0.12;0.24,11,1,215,215,235
4,4,17,207,40,1,0.06;0.12;0.24,19,1,207,155,265
4,4,18,215,80,1,0.06;0.12;0.24,31,1,215,155,65
4,5,19,215,20,1,0.06;0.12;0.24,11,1,215,245,235
4,5,20,146,80,1,0.06;0.12;0.24,29,1,146,215,305
4,5,21,213,10,1,0.06;0.12;0.24,5,1,213,215,225
4,5,22,207,40,1,0.06;0.12;0.24,19,1,207,235,235
4,5,23,188,80,1,0.06;0.12;0.24,30,1,188,255,275
5,1,1,215,80,1,0.06;0.12;0.24,31,1,215,175,275
5,1,2,215,20,1,0.06;0.12;0.24,11,1,215,235,235
5,1,3,207,40,1,0.06;0.12;0.24,19,1,207,205,245
5,1,4,213,10,1,0.06;0.12;0.24,5,1,213,235,215
5,2,5,215,20,1,0.06;0.12;0.24,11,1,215,255,255
5,2,6,207,40,1,0.06;0.12;0.24,19,1,207,295,275
5,2,7,215,80,1,0.06;0.12;0.24,31,1,215,175,205
5,2,8,215,80,1,0.06;0.12;0.24,31,1,215,245,205
5,3,9,213,10,1,0.06;0.12;0.24,5,1,213,235,215
5,3,10,215,80,1,0.06;0.12;0.24,31,1,215,165,215
5,3,11,207,40,1,0.06;0.12;0.24,19,1,207,185,205
5,3,12,215,80,1,0.06;0.12;0.24,31,1,215,225,315
5,4,13,226,80,1,0.06;0.12;0.24,36,1,226,305,215
5,4,14,204,20,1,0.06;0.12;0.24,11,1,204,245,215
5,4,15,221,10,1,0.06;0.12;0.24,5,1,221,215,215
5,4,16,202,40,1,0.06;0.12;0.24,19,1,202,195,155
5,4,17,226,80,1,0.06;0.12;0.24,36,1,226,125,335
5,5,18,202,40,1,0.06;0.12;0.24,19,1,202,245,265
5,5,19,204,20,1,0.06;0.12;0.24,11,1,204,235,245
5,5,20,226,80,1,0.06;0.12;0.24,36,1,226,195,155
5,5,21,226,80,1,0.06;0.12;0.24,36,1,226,245,145
5,5,22,221,10,1,0.06;0.12;0.24,5,1,221,225,235
5,6,23,221,10,1,0.06;0.12;0.24,5,1,221,215,205
5,6,24,226,80,1,0.06;0.12;0.24,36,1,226,205,135
5,6,25,202,40,1,0.06;0.12;0.24,19,1,202,185,235
5,6,26,204,20,1,0.06;0.12;0.24,11,1,204,235,215
5,6,27,226,80,1,0.06;0.12;0.24,36,1,226,315,25
6,1,1,204,20,1,0.06;0.12;0.24,11,1,204,185,225
6,1,2,221,10,1,0.06;0.12;0.24,5,1,221,225,215
6,1,3,226,80,1,0.06;0.12;0.24,36,1,226,115,285
6,1,4,202,40,1,0.06;0.12;0.24,19,1,202,245,315
6,1,5,226,80,1,0.06;0.12;0.24,36,1,226,65,115
6,2,6,202,40,1,0.06;0.12;0.24,19,1,202,235,205
6,2,7,221,10,1,0.06;0.12;0.24,5,1,221,225,225
6,2,8,226,80,1,0.06;0.12;0.24,36,1,226,265,215
6,2,9,204,20,1,0.06;0.12;0.24,11,1,204,225,255
6,2,10,226,80,1,0.06;0.12;0.24,36,1,226,215,45
6,3,11,204,20,1,0.06;0.12;0.24,11,1,204,205,235
6,3,12,221,10,1,0.06;0.12;0.24,5,1,221,225,225
6,3,13,226,80,1,0.06;0.12;0.24,36,1,226,165,275
6,3,14,202,40,1,0.06;0.12;0.24,19,1,202,185,215
6,3,15,226,80,1,0.06;0.12;0.24,36,1,226,195,315
6,4,16,226,80,1,0.06;0.12;0.24,36,1,226,305,205
6,4,17,204,20,1,0.06;0.12;0.24,11,1,204,255,215
6,4,18,226,80,1,0.06;0.12;0.24,36,1,226,225,85
6,4,19,221,10,1,0.06;0.12;0.24,5,1,221,215,225
6,4,20,202,40,1,0.06;0.12;0.24,19,1,202,275,195
6,5,21,226,80,1,0.06;0.12;0.24,36,1,226,255,285
6,5,22,226,80,1,0.06;0.12;0.24,36,1,226,305,215
6,5,23,221,10,1,0.06;0.12;0.24,5,1,221,235,205
6,5,24,204,20,1,0.06;0.12;0.24,11,1,204,215,215
6,5,25,202,40,1,0.06;0.12;0.24,19,1,202,215,295
6,6,26,221,10,1,0.06;0.12;0.24,5,1,221,235,245
6,6,27,204,20,1,0.06;0.12;0.24,11,1,204,195,235
6,6,28,226,80,1,0.06;0.12;0.24,36,1,226,215,255
6,6,29,202,40,1,0.06;0.12;0.24,19,1,202,305,235
6,6,30,226,80,1,0.06;0.12;0.24,36,1,226,135,345
6,7,31,202,40,1,0.06;0.12;0.24,19,1,202,265,225
6,7,32,204,20,1,0.06;0.12;0.24,11,1,204,195,235
6,7,33,226,80,1,0.06;0.12;0.24,36,1,226,125,205
6,7,34,221,10,1,0.06;0.12;0.24,5,1,221,235,225
6,7,35,226,80,1,0.06;0.12;0.24,36,1,226,115,75
7,1,1,215,20,1,0.06;0.12;0.24,11,1,215,175,195
7,1,2,207,40,1,0.06;0.12;0.24,19,1,207,265,285
7,1,3,213,10,1,0.06;0.12;0.24,5,1,213,215,215
7,1,4,215,80,1,0.06;0.12;0.24,31,1,215,165,265
7,2,5,215,80,1,0.06;0.12;0.24,31,1,215,165,105
7,2,6,215,80,1,0.06;0.12;0.24,31,1,215,165,225
7,2,7,207,40,1,0.06;0.12;0.24,19,1,207,185,275
7,2,8,215,20,1,0.06;0.12;0.24,11,1,215,225,205
7,3,9,213,10,1,0.06;0.12;0.24,5,1,213,215,205
7,3,10,215,80,1,0.06;0.12;0.24,31,1,215,75,255
7,3,11,215,80,1,0.06;0.12;0.24,31,1,215,155,205
7,3,12,215,20,1,0.06;0.12;0.24,11,1,215,265,245
7,4,13,202,40,1,0.06;0.12;0.24,19,1,202,215,245
7,4,14,226,80,1,0.06;0.12;0.24,36,1,226,315,305
7,4,15,204,20,1,0.06;0.12;0.24,11,1,204,265,195
7,4,16,221,10,1,0.06;0.12;0.24,5,1,221,225,225
7,4,17,226,80,1,0.06;0.12;0.24,36,1,226,195,285
7,5,18,221,10,1,0.06;0.12;0.24,5,1,221,245,215
7,5,19,226,80,1,0.06;0.12;0.24,36,1,226,265,165
7,5,20,204,20,1,0.06;0.12;0.24,11,1,204,195,235
7,5,21,226,80,1,0.06;0.12;0.24,36,1,226,295,205
7,5,22,202,40,1,0.06;0.12;0.24,19,1,202,275,195
7,6,23,226,80,1,0.06;0.12;0.24,36,1,226,205,235
7,6,24,204,20,1,0.06;0.12;0.24,11,1,204,205,245
7,6,25,202,40,1,0.06;0.12;0.24,19,1,202,175,235
7,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,215
7,6,27,226,80,1,0.06;0.12;0.24,36,1,226,235,145
8,1,1,207,40,1,0.06;0.12;0.24,19,1,207,275,275
8,1,2,215,20,1,0.06;0.12;0.24,11,1,215,195,225
8,1,3,215,80,1,0.06;0.12;0.24,31,1,215,165,205
8,1,4,213,10,1,0.06;0.12;0.24,5,1,213,225,235
8,2,5,213,10,1,0.06;0.12;0.24,5,1,213,225,215
8,2,6,215,80,1,0.06;0.12;0.24,31,1,215,65,265
8,2,7,215,80,1,0.06;0.12;0.24,31,1,215,205,225
8,2,8,215,20,1,0.06;0.12;0.24,11,1,215,215,175
8,3,9,207,40,1,0.06;0.12;0.24,19,1,207,205,215
8,3,10,215,80,1,0.06;0.12;0.24,31,1,215,95,175
8,3,11,215,20,1,0.06;0.12;0.24,11,1,215,185,245
8,3,12,215,80,1,0.06;0.12;0.24,31,1,215,295,195
8,4,13,226,80,1,0.06;0.12;0.24,36,1,226,315,195
8,4,14,226,80,1,0.06;0.12;0.24,36,1,226,205,95
8,4,15,204,20,1,0.06;0.12;0.24,11,1,204,245,215
8,4,16,202,40,1,0.06;0.12;0.24,19,1,202,285,245
8,4,17,221,10,1,0.06;0.12;0.24,5,1,221,215,235
8,5,18,221,10,1,0.06;0.12;0.24,5,1,221,235,225
8,5,19,202,40,1,0.06;0.12;0.24,19,1,202,265,165
8,5,20,226,80,1,0.06;0.12;0.24,36,1,226,295,345
8,5,21,204,20,1,0.06;0.12;0.24,11,1,204,235,245
8,5,22,226,80,1,0.06;0.12;0.24,36,1,226,245,85
8,6,23,204,20,1,0.06;0.12;0.24,11,1,204,225,255
8,6,24,226,80,1,0.06;0.12;0.24,36,1,226,125,25
8,6,25,202,40,1,0.06;0.12;0.24,19,1,202,235,155
8,6,26,226,80,1,0.06;0.12;0.24,36,1,226,205,185
8,6,27,221,10,1,0.06;0.12;0.24,5,1,221,225,225
9,1,1,221,10,1,0.06;0.12;0.24,5,1,221,215,235
9,1,2,204,20,1,0.06;0.12;0.24,11,1,204,225,255
9,1,3,226,80,1,0.06;0.12;0.24,36,1,226,225,195
9,1,4,226,80,1,0.06;0.12;0.24,36,1,226,295,25
9,1,5,202,40,1,0.06;0.12;0.24,19,1,202,215,225
9,2,6,226,80,1,0.06;0.12;0.24,36,1,226,185,5
9,2,7,204,20,1,0.06;0.12;0.24,11,1,204,215,195
9,2,8,221,10,1,0.06;0.12;0.24,5,1,221,215,235
9,2,9,226,80,1,0.06;0.12;0.24,36,1,226,255,125
9,2,10,202,40,1,0.06;0.12;0.24,19,1,202,205,215
9,3,11,221,10,1,0.06;0.12;0.24,5,1,221,235,235
9,3,12,226,80,1,0.06;0.12;0.24,36,1,226,285,245
9,3,13,226,80,1,0.06;0.12;0.24,36,1,226,15,205
9,3,14,202,40,1,0.06;0.12;0.24,19,1,202,215,215
9,3,15,204,20,1,0.06;0.12;0.24,11,1,204,205,205
9,4,16,202,40,1,0.06;0.12;0.24,19,1,202,225,265
9,4,17,204,20,1,0.06;0.12;0.24,11,1,204,245,245
9,4,18,226,80,1,0.06;0.12;0.24,36,1,226,175,285
9,4,19,226,80,1,0.06;0.12;0.24,36,1,226,225,105
9,4,20,221,10,1,0.06;0.12;0.24,5,1,221,235,225
9,5,21,204,20,1,0.06;0.12;0.24,11,1,204,195,195
9,5,22,226,80,1,0.06;0.12;0.24,36,1,226,185,285
9,5,23,221,10,1,0.06;0.12;0.24,5,1,221,215,205
9,5,24,226,80,1,0.06;0.12;0.24,36,1,226,185,125
9,5,25,202,40,1,0.06;0.12;0.24,19,1,202,225,225
9,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,215
9,6,27,202,40,1,0.06;0.12;0.24,19,1,202,245,215
9,6,28,204,20,1,0.06;0.12;0.24,11,1,204,245,245
9,6,29,226,80,1,0.06;0.12;0.24,36,1,226,265,285
9,6,30,226,80,1,0.06;0.12;0.24,36,1,226,315,335
9,7,31,226,80,1,0.06;0.12;0.24,36,1,226,135,315
9,7,32,221,10,1,0.06;0.12;0.24,5,1,221,235,235
9,7,33,226,80,1,0.06;0.12;0.24,36,1,226,5,195
9,7,34,204,20,1,0.06;0.12;0.24,11,1,204,195,215
9,7,35,202,40,1,0.06;0.12;0.24,19,1,202,215,205
9,8,36,204,20,1,0.06;0.12;0.24,11,1,204,215,205
9,8,37,221,10,1,0.06;0.12;0.24,5,1,221,215,225
9,8,38,202,40,1,0.06;0.12;0.24,19,1,202,235,285
9,8,39,226,80,1,0.06;0.12;0.24,36,1,226,175,65
9,8,40,226,80,1,0.06;0.12;0.24,36,1,226,205,75
10,1,1,226,80,1,0.06;0.12;0.24,36,1,226,325,205
10,1,2,202,40,1,0.06;0.12;0.24,19,1,202,255,265
10,1,3,221,10,1,0.06;0.12;0.24,5,1,221,215,215
10,1,4,204,20,1,0.06;0.12;0.24,11,1,204,215,225
10,1,5,226,80,1,0.06;0.12;0.24,36,1,226,165,5
10,2,6,202,40,1,0.06;0.12;0.24,19,1,202,275,205
10,2,7,226,80,1,0.06;0.12;0.24,36,1,226,185,295
10,2,8,204,20,1,0.06;0.12;0.24,11,1,204,225,235
10,2,9,226,80,1,0.06;0.12;0.24,36,1,226,65,195
10,2,10,221,10,1,0.06;0.12;0.24,5,1,221,235,245
10,3,11,226,80,1,0.06;0.12;0.24,36,1,226,315,215
10,3,12,1,20,1,0.06,1,1,1,225,225
10,3,13,221,10,1,0.06;0.12;0.24,5,1,221,225,225
10,3,14,226,80,1,0.06;0.12;0.24,36,1,226,135,165
10,3,15,202,40,1,0.06;0.12;0.24,19,1,202,195,205
10,4,16,221,10,1,0.06;0.12;0.24,5,1,221,215,245
10,4,17,204,20,1,0.06;0.12;0.24,11,1,204,225,265
10,4,18,226,80,1,0.06;0.12;0.24,36,1,226,215,255
10,4,19,202,40,1,0.06;0.12;0.24,19,1,202,275,155
10,5,20,204,20,1,0.06;0.12;0.24,11,1,204,225,225
10,5,21,221,10,1,0.06;0.12;0.24,5,1,221,235,225
10,5,22,226,80,1,0.06;0.12;0.24,36,1,226,175,165
10,5,23,226,80,1,0.06;0.12;0.24,36,1,226,295,45
10,5,24,202,40,1,0.06;0.12;0.24,19,1,202,245,265
10,6,25,221,10,1,0.06;0.12;0.24,5,1,221,215,215
10,6,26,226,80,1,0.06;0.12;0.24,36,1,226,285,245
10,6,27,226,80,1,0.06;0.12;0.24,36,1,226,25,205
10,6,28,204,20,1,0.06;0.12;0.24,11,1,204,225,205
10,6,29,202,40,1,0.06;0.12;0.24,19,1,202,235,255
11,1,1,221,10,1,0.06;0.12;0.24,5,1,221,225,225
11,1,2,226,80,1,0.06;0.12;0.24,36,1,226,345,325
11,1,3,204,20,1,0.06;0.12;0.24,11,1,204,215,235
11,1,4,202,40,1,0.06;0.12;0.24,19,1,202,245,225
11,1,5,226,80,1,0.06;0.12;0.24,36,1,226,35,185
11,2,6,226,80,1,0.06;0.12;0.24,36,1,226,125,85
11,2,7,204,20,1,0.06;0.12;0.24,11,1,204,235,195
11,2,8,202,40,1,0.06;0.12;0.24,19,1,202,195,175
11,2,9,221,10,1,0.06;0.12;0.24,5,1,221,225,235
11,2,10,226,80,1,0.06;0.12;0.24,36,1,226,125,115
11,3,11,226,80,1,0.06;0.12;0.24,36,1,226,305,255
11,3,12,202,40,1,0.06;0.12;0.24,19,1,202,225,235
11,3,13,226,80,1,0.06;0.12;0.24,36,1,226,195,205
11,3,14,221,10,1,0.06;0.12;0.24,5,1,221,235,225
11,3,15,204,20,1,0.06;0.12;0.24,11,1,204,235,195
11,4,16,226,80,1,0.06;0.12;0.24,36,1,226,125,275
11,4,17,204,20,1,0.06;0.12;0.24,11,1,204,205,235
11,4,18,221,10,1,0.06;0.12;0.24,5,1,221,235,225
11,4,19,202,40,1,0.06;0.12;0.24,19,1,202,275,205
11,4,20,226,80,1,0.06;0.12;0.24,36,1,226,315,255
11,5,21,202,40,1,0.06;0.12;0.24,19,1,202,175,225
11,5,22,226,80,1,0.06;0.12;0.24,36,1,226,305,215
11,5,23,221,10,1,0.06;0.12;0.24,5,1,221,225,225
11,5,24,226,80,1,0.06;0.12;0.24,36,1,226,355,35
11,5,25,204,20,1,0.06;0.12;0.24,11,1,204,235,235
11,6,26,221,10,1,0.06;0.12;0.24,5,1,221,225,245
11,6,27,204,20,1,0.06;0.12;0.24,11,1,204,195,215
11,6,28,226,80,1,0.06;0.12;0.24,36,1,226,225,75
11,6,29,226,80,1,0.06;0.12;0.24,36,1,226,185,195
11,6,30,202,40,1,0.06;0.12;0.24,19,1,202,235,225
12,1,1,204,20,1,0.06;0.12;0.24,11,1,204,235,245
12,1,2,221,10,1,0.06;0.12;0.24,5,1,221,225,245
12,1,3,226,80,1,0.06;0.12;0.24,36,1,226,295,195
12,1,4,226,80,1,0.06;0.12;0.24,36,1,226,225,115
12,1,5,202,40,1,0.06;0.12;0.24,19,1,202,225,255
12,2,6,226,80,1,0.06;0.12;0.24,36,1,226,165,215
12,2,7,226,80,1,0.06;0.12;0.24,36,1,226,185,215
12,2,8,202,40,1,0.06;0.12;0.24,19,1,202,185,175
12,2,9,221,10,1,0.06;0.12;0.24,5,1,221,225,215
12,2,10,204,20,1,0.06;0.12;0.24,11,1,204,255,255
12,3,11,204,20,1,0.06;0.12;0.24,11,1,204,235,215
12,3,12,226,80,1,0.06;0.12;0.24,36,1,226,325,355
12,3,13,226,80,1,0.06;0.12;0.24,36,1,226,155,215
12,3,14,202,40,1,0.06;0.12;0.24,19,1,202,285,255
12,3,15,221,10,1,0.06;0.12;0.24,5,1,221,215,225
12,4,16,202,40,1,0.06;0.12;0.24,19,1,202,175,215
12,4,17,204,20,1,0.06;0.12;0.24,11,1,204,225,215
12,4,18,221,10,1,0.06;0.12;0.24,5,1,221,235,215
12,4,19,226,80,1,0.06;0.12;0.24,36,1,226,175,295
12,4,20,226,80,1,0.06;0.12;0.24,36,1,226,205,275
12,5,21,226,80,1,0.06;0.12;0.24,36,1,226,145,255
12,5,22,221,10,1,0.06;0.12;0.24,5,1,221,225,225
12,5,23,204,20,1,0.06;0.12;0.24,11,1,204,265,245
12,5,24,202,40,1,0.06;0.12;0.24,19,1,202,275,245
12,5,25,226,80,1,0.06;0.12;0.24,36,1,226,335,215
12,6,26,204,20,1,0.06;0.12;0.24,11,1,204,245,195
12,6,27,226,80,1,0.06;0.12;0.24,36,1,226,285,175
12,6,28,221,10,1,0.06;0.12;0.24,5,1,221,225,225
12,6,29,226,80,1,0.06;0.12;0.24,36,1,226,205,225
12,6,30,202,40,1,0.06;0.12;0.24,19,1,202,185,185
