model,model_label,coherence,prior_std,n_subjects,mean_learned_sd,sd_across_subjects,sem_learned_sd,phase
hb_adaptive,HB-Adaptive,0.06,10,12,10.857695573733823,1.109532935377902,0.3202945694575937,late
hb_adaptive,HB-Adaptive,0.06,20,12,17.06597994898728,0.5392561888680286,0.155669852902564,late
hb_adaptive,HB-Adaptive,0.06,40,12,23.15301124888281,1.9015758364964788,0.548937660542865,late
hb_adaptive,HB-Adaptive,0.06,80,12,25.139640233946153,1.3157779493434374,0.3798323766236037,late
hb_adaptive,HB-Adaptive,0.12,10,12,10.831337541072187,1.1738318819392044,0.33885607651048233,late
hb_adaptive,HB-Adaptive,0.12,20,12,17.14854944661018,0.5193744631663244,0.1499304930596474,late
hb_adaptive,HB-Adaptive,0.12,40,12,23.025511342255133,1.795775484161421,0.5183957295923636,late
hb_adaptive,HB-Adaptive,0.12,80,12,25.28507444839399,1.2675543503564284,0.36591142269538257,late
hb_adaptive,HB-Adaptive,0.24,10,12,10.820881163170421,1.082453433955507,0.3124773907397234,late
hb_adaptive,HB-Adaptive,0.24,20,12,17.28997797068693,0.5714786516384046,0.16497167667977863,late
hb_adaptive,HB-Adaptive,0.24,40,12,22.628333368538335,1.6473416046893439,0.47554655945733143,late
hb_adaptive,HB-Adaptive,0.24,80,12,25.546121628676904,1.3722250653255064,0.3961272554272165,late
hb_rachel,HB-Rachel,0.06,10,12,11.156072865996443,2.364793790509416,0.6826571657642834,late
hb_rachel,HB-Rachel,0.06,20,12,16.31160647678806,1.419386394587934,0.40974155849971805,late
hb_rachel,HB-Rachel,0.06,40,12,24.427356694529138,4.714689884842859,1.3610137370798154,late
hb_rachel,HB-Rachel,0.06,80,12,35.2038620741256,13.793646798487433,3.9818828461066698,late
hb_rachel,HB-Rachel,0.12,10,12,11.124644859402332,2.3955926621874934,0.6915480341913208,late
hb_rachel,HB-Rachel,0.12,20,12,16.487636806954487,1.4247873827950885,0.41130068949736337,late
hb_rachel,HB-Rachel,0.12,40,12,24.36831580547266,4.860093854806704,1.4029882476797482,late
hb_rachel,HB-Rachel,0.12,80,12,35.811758763052346,14.388536852582956,4.153612812541811,late
hb_rachel,HB-Rachel,0.24,10,12,11.137817327611819,2.3942979351574407,0.6911742786916568,late
hb_rachel,HB-Rachel,0.24,20,12,16.607672677046782,1.5134416297456457,0.43689296616821727,late
hb_rachel,HB-Rachel,0.24,40,12,23.751403652654663,4.806370478748793,1.387479644865343,late
hb_rachel,HB-Rachel,0.24,80,12,36.09913467973509,14.451353281954567,4.171746353745426,late
hb_salma,HB-Salma,0.06,10,12,28.355331120347802,17.022310727808097,4.91391784046473,late
hb_salma,HB-Salma,0.06,20,12,38.58671985685907,13.672123302178631,3.9468020344532944,late
hb_salma,HB-Salma,0.06,40,12,58.21590343520919,7.973487431100018,2.3017475573628468,late
hb_salma,HB-Salma,0.06,80,12,88.26659054767242,7.658988257708885,2.210959466154204,late
hb_salma,HB-Salma,0.12,10,12,28.321705507666604,17.03808743373688,4.9184721831721845,late
hb_salma,HB-Salma,0.12,20,12,38.80649943102004,13.77879697957071,3.9775960726321764,late
hb_salma,HB-Salma,0.12,40,12,58.464568476778645,7.908713116659029,2.2830488234233073,late
hb_salma,HB-Salma,0.12,80,12,88.32883487931225,7.703524837771555,2.223816069398188,late
hb_salma,HB-Salma,0.24,10,12,28.383492590661707,17.063932018909185,4.925932872275347,late
hb_salma,HB-Salma,0.24,20,12,39.00655926062281,13.755271275858183,3.9708047869465246,late
hb_salma,HB-Salma,0.24,40,12,57.55124712141091,7.515543933139503,2.1695506564522753,late
hb_salma,HB-Salma,0.24,80,12,88.92792589291535,7.770973452666483,2.2432868073812147,late
hierarchical_online,Hier-Online,0.06,10,12,9.379248234370179,0.7472223339457601,0.21570450782404252,late
hierarchical_online,Hier-Online,0.06,20,12,18.20283875511329,0.8801519171187959,0.254077973138151,late
hierarchical_online,Hier-Online,0.06,40,12,35.093037758308306,1.432902762847958,0.4136433979264136,late
hierarchical_online,Hier-Online,0.06,80,12,71.7172524862131,3.910575445259925,1.1288858930035792,late
hierarchical_online,Hier-Online,0.12,10,12,9.329771186483319,0.7284545102851074,0.2102867038027519,late
hierarchical_online,Hier-Online,0.12,20,12,18.225711744951017,0.8691402782089716,0.250899186793748,late
hierarchical_online,Hier-Online,0.12,40,12,35.42116642856528,1.5266830318376512,0.44071542969935096,late
hierarchical_online,Hier-Online,0.12,80,12,71.82665892318201,4.157469081371892,1.2001579466388042,late
hierarchical_online,Hier-Online,0.24,10,12,9.330922989660138,0.7396146549398533,0.21350836006305826,late
hierarchical_online,Hier-Online,0.24,20,12,18.30674779598554,0.7563983574064237,0.21835339763159475,late
hierarchical_online,Hier-Online,0.24,40,12,35.11572326425722,2.4409401955132277,0.70463873947767,late
hierarchical_online,Hier-Online,0.24,80,12,72.17566937561737,4.15964941072637,1.200787353508669,late
recombined,Recombined,0.06,10,12,10.204412142594364,1.6625901904672042,0.4799484470091358,late
recombined,Recombined,0.06,20,12,17.28778242598504,1.5736484112198008,0.4542731669137895,late
recombined,Recombined,0.06,40,12,27.829381958753228,6.244426774222599,1.8026107395161621,late
recombined,Recombined,0.06,80,12,51.14191953937941,17.589026755364056,5.0775146659964845,late
recombined,Recombined,0.12,10,12,10.182310577477287,1.7224213384990776,0.49722021172019903,late
recombined,Recombined,0.12,20,12,17.310246161799494,1.5867528483672821,0.4580560920711279,late
recombined,Recombined,0.12,40,12,27.808322416028677,6.1601590705326,1.778284748811456,late
recombined,Recombined,0.12,80,12,51.14169415570987,17.578048483258435,5.074345511818775,late
recombined,Recombined,0.24,10,12,10.209974516873546,1.7712305444531673,0.5113102158184618,late
recombined,Recombined,0.24,20,12,17.401598385324338,1.533507113501605,0.4426853723921788,late
recombined,Recombined,0.24,40,12,27.55216105386488,6.288752568954744,1.8154064942764863,late
recombined,Recombined,0.24,80,12,51.56342794756029,17.877308308241343,5.160734382074536,late
